Source,Headline,Scrape_Date
BBC,"us pulling some personnel from qatar air base, official tells cbs",2026-01-14
BBC,trump vows 'very strong action' if iran executes protesters,2026-01-14
BBC,no power or water and -19c: kyiv seeks relief from russian strikes and cold,2026-01-14
BBC,china announces record $1tn trade surplus despite trump tariffs,2026-01-14
BBC,trump insists us needs greenland for security as white house talks get under way,2026-01-14
BBC,at least 32 killed after crane collapses on train in thailand,2026-01-14
BBC,watch: 'grim scene' at construction site where train carriages crushed,2026-01-14
BBC,amateur stuns world's best to win a$1m in melbourne,2026-01-14
BBC,"venezuela has freed some american citizens from prison, us official says",2026-01-14
BBC,fact-checking trump's claims about inflation and us economic growth,2026-01-14
BBC,'appropriate and unambiguous': white house defends trump over middle-finger gesture at heckler,2026-01-14
BBC,la opens ticket draw for 2028 olympics - with seats starting at $28,2026-01-14
BBC,it ends with us author colleen hoover reveals 'successful' cancer surgery,2026-01-14
BBC,'now there's the threat of executions' in iran,2026-01-14
BBC,"'sentenced to death within days': who is erfan soltani, iranian protester reportedly facing execution?",2026-01-14
BBC,"bowen: authoritarian regimes die gradually then suddenly, but iran is not there yet",2026-01-14
BBC,"honey, i shrunk the data centres: is small the new big?",2026-01-14
BBC,greenlanders brace for summit that could shape the arctic's future - and their own,2026-01-14
BBC,stranger things documentary-maker shares reason for last-minute finale script,2026-01-14
BBC,why does trump want greenland and what could it mean for nato?,2026-01-14
BBC,saks files for bankruptcy. what went wrong at the luxury retailer?,2026-01-14
BBC,trump's foreign policy and what it might mean for the world cup,2026-01-14
BBC,'grim scene': bbc on site after crane collapses on train in thailand,2026-01-14
BBC,what message do greenlanders have for trump?,2026-01-14
BBC,ice officers pull woman from car in minneapolis as operation continues,2026-01-14
BBC,inside kyiv's 'invincibility train' for residents left without power,2026-01-14
BBC,us supreme court appears likely to uphold restrictions on transgender athletes,2026-01-14
BBC,actor kiefer sutherland arrested over alleged assault of ride-share driver,2026-01-14
BBC,uganda election chief says he has had threats over results declaration,2026-01-14
BBC,"only trump can stop putin, polish president tells bbc",2026-01-14
BBC,us approves sale of nvidia's advanced ai chips to china,2026-01-14
BBC,no 10 welcomes reports x is addressing grok deepfakes,2026-01-14
BBC,k-pop drum duet between japan and south korea's leaders caps off summit talks,2026-01-14
BBC,canada's mark carney faces delicate balancing act in china visit,2026-01-14
BBC,oil tanker seized by us spotted in scotland's moray firth,2026-01-14
BBC,nuclear bunker nears collapse due to erosion,2026-01-14
BBC,england head coach wane steps down in world cup year,2026-01-14
BBC,hasty or a shrewd move? madrid in shock at swift arbeloa appointment,2026-01-14
BBC,salah-mane rivalry renewed in afcon semi-finals,2026-01-14
BBC,trump v ding - follow masters snooker,2026-01-14
BBC,ofner's australian open despair after celebrating too early,2026-01-14
BBC,spurs & villa charged over melee after fa cup game,2026-01-14
BBC,"us pulling some personnel from qatar air base, official tells cbs",2026-01-14
BBC,trump vows 'very strong action' if iran executes protesters,2026-01-14
BBC,no power or water and -19c: kyiv seeks relief from russian strikes and cold,2026-01-14
BBC,china announces record $1tn trade surplus despite trump tariffs,2026-01-14
BBC,trump insists us needs greenland for security as white house talks get under way,2026-01-14
